points,threads,run_index,repeat_index,requested_points,requested_threads,requested_distribution,run_divide_conquer,no_bruteforce,exit_code,wall_time_ms,reported_distribution,crns_serial_ms,crns_parallel_ms,custom_algorithm_ms,dnc_serial_ms,dnc_parallel_ms,brute_force_ms,comparison_reduction_brute_over_custom_serial,comparison_reduction_brute_over_custom_parallel,comparison_reduction_brute_over_custom,custom_serial_matches_bruteforce,custom_parallel_matches_bruteforce,custom_matches_bruteforce,divide_serial_matches_bruteforce,divide_parallel_matches_bruteforce,custom_serial_matches_divide_serial,custom_parallel_matches_divide_parallel,custom_matches_divide_serial,custom_matches_divide_parallel,brute_force_disabled,raw_output,serial_ratio_dnc_over_crns,parallel_ratio_dnc_over_crns
100,1,1.0,1.0,100.0,1.0,10.0,1.0,1.0,0.0,12.9484,10.0,0.0301,1.4283,1.4283,0.0558,0.0342,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.8538205980066447,0.023944549464398238
100,4,2.0,1.0,100.0,4.0,10.0,1.0,1.0,0.0,12.9442,10.0,0.0172,1.2776,1.2776,0.0403,0.0317,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.3430232558139537,0.024812147777082027
100,8,3.0,1.0,100.0,8.0,10.0,1.0,1.0,0.0,14.4526,10.0,0.0256,2.1711,2.1711,0.0633,0.0492,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.4726562499999996,0.0226613237529363
100,12,4.0,1.0,100.0,12.0,10.0,1.0,1.0,0.0,15.4523,10.0,0.0375,2.9775,2.9775,0.0759,0.054,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.024,0.0181360201511335
1000,1,5.0,1.0,1000.0,1.0,10.0,1.0,1.0,0.0,15.942,10.0,0.2211,1.8299,1.8299,0.7383,0.6331,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.33921302578019,0.3459751899010875
1000,4,6.0,1.0,1000.0,4.0,10.0,1.0,1.0,0.0,15.558,10.0,0.2243,1.946,1.946,0.6286,0.6221,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.8024966562639326,0.3196813977389517
1000,8,7.0,1.0,1000.0,8.0,10.0,1.0,1.0,0.0,14.286,10.0,0.1573,1.9321,1.9321,0.5667,0.4482,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.6026700572155117,0.23197557062263857
1000,12,8.0,1.0,1000.0,12.0,10.0,1.0,1.0,0.0,15.2875,10.0,0.1955,2.5461,2.5461,0.7182,0.6896,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.673657289002557,0.2708456070067947
10000,1,9.0,1.0,10000.0,1.0,10.0,1.0,1.0,0.0,25.252,10.0,2.1338,2.9891,2.9891,5.1736,4.8867,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.424594619926891,1.634839918370078
10000,4,10.0,1.0,10000.0,4.0,10.0,1.0,1.0,0.0,27.1624,10.0,2.2333,3.2472,3.2472,5.4309,4.2235,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.4317825639188646,1.300659029317566
10000,8,11.0,1.0,10000.0,8.0,10.0,1.0,1.0,0.0,29.6834,10.0,2.2912,4.1767,4.1767,6.1666,5.288,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.6914280726256985,1.2660713003088562
10000,12,12.0,1.0,10000.0,12.0,10.0,1.0,1.0,0.0,31.1799,10.0,2.3778,4.4055,4.4055,8.1897,6.1677,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.4442341660358315,1.4
100000,1,13.0,1.0,100000.0,1.0,10.0,1.0,1.0,0.0,251.9228,10.0,29.8377,27.3236,27.3236,71.001,83.8187,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.3795734925949388,3.0676301805033015
100000,4,14.0,1.0,100000.0,4.0,10.0,1.0,1.0,0.0,196.7225,10.0,30.44,27.148,27.148,72.6293,50.211,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.3859822601839684,1.8495285103875054
100000,8,15.0,1.0,100000.0,8.0,10.0,1.0,1.0,0.0,178.8617,10.0,25.4874,27.7349,27.7349,67.9254,40.7003,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.6650580286729912,1.4674759959473442
100000,12,16.0,1.0,100000.0,12.0,10.0,1.0,1.0,0.0,163.0125,10.0,26.0398,26.0052,26.0052,64.8136,32.7761,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.489020653000407,1.2603671573377633
1000000,1,17.0,1.0,1000000.0,1.0,10.0,1.0,1.0,0.0,2393.7996,10.0,274.3459,277.1475,277.1475,957.7789,844.1674,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.491136189751697,3.0459138184540726
1000000,4,18.0,1.0,1000000.0,4.0,10.0,1.0,1.0,0.0,2142.4392,10.0,272.2303,256.9647,256.9647,1028.4759,548.5441,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.7779626294354447,2.1347060510646014
1000000,8,19.0,1.0,1000000.0,8.0,10.0,1.0,1.0,0.0,2010.4624,10.0,271.9349,274.5462,274.5462,957.9833,465.9632,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.5228405769174898,1.6972123453174728
1000000,12,20.0,1.0,1000000.0,12.0,10.0,1.0,1.0,0.0,2138.7501,10.0,262.2225,253.9231,253.9231,1042.5399,538.8609,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.975783542602179,2.122142097351521
10000000,1,21.0,1.0,10000000.0,1.0,10.0,1.0,1.0,0.0,35535.1394,10.0,3220.6556,3412.6885,3412.6885,15375.9149,13208.9981,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,4.774156820741715,3.870554871914035
10000000,4,22.0,1.0,10000000.0,4.0,10.0,1.0,1.0,0.0,27702.9259,10.0,4239.0564,3454.7333,3454.7333,13077.5757,6548.5082,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.0850204540802992,1.8955177234665266
10000000,8,23.0,1.0,10000000.0,8.0,10.0,1.0,1.0,0.0,25428.4529,10.0,3428.7486,3382.5479,3382.5479,12340.3024,5882.8953,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.599068884782046,1.73919053740525
10000000,12,24.0,1.0,10000000.0,12.0,10.0,1.0,1.0,0.0,26632.3444,10.0,3198.539,3310.8635,3310.8635,12955.717,6774.6129,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,4.050510873870851,2.0461770471660943
